Fecha_datetime,no2_mean,pix,Year,Month,Day
2004-10-01,7.9614416e-05,6.0,2004,10,1
2004-10-02,0.00014901829,6.0,2004,10,2
2004-10-03,7.295297e-05,6.0,2004,10,3
2004-10-04,6.6918794e-05,6.0,2004,10,4
2004-10-05,6.6667315e-05,6.0,2004,10,5
2004-10-06,,0.0,2004,10,6
2004-10-07,8.000226e-05,4.0,2004,10,7
2004-10-08,,0.0,2004,10,8
2004-10-09,1.2821836e-05,2.0,2004,10,9
2004-10-10,4.9877894e-05,6.0,2004,10,10
2004-10-11,5.265907e-05,5.0,2004,10,11
2004-10-12,,0.0,2004,10,12
2004-10-13,,0.0,2004,10,13
2004-10-14,0.00012439529,6.0,2004,10,14
2004-10-15,2.5964151e-05,5.0,2004,10,15
2004-10-16,,0.0,2004,10,16
2004-10-17,6.0385508e-05,6.0,2004,10,17
2004-10-18,6.0176197e-05,6.0,2004,10,18
2004-10-19,0.00019548688,6.0,2004,10,19
2004-10-20,5.8083864e-05,6.0,2004,10,20
2004-10-21,3.1591873e-05,5.0,2004,10,21
2004-10-22,3.0527546e-05,1.0,2004,10,22
2004-10-23,9.186703e-05,6.0,2004,10,23
2004-10-24,8.0548765e-05,6.0,2004,10,24
2004-10-25,3.5098972e-05,6.0,2004,10,25
2004-10-26,,0.0,2004,10,26
2004-10-27,3.9225342e-05,5.0,2004,10,27
2004-10-28,5.9693637e-05,6.0,2004,10,28
2004-10-29,,0.0,2004,10,29
2004-10-30,0.00014755687,5.0,2004,10,30
2004-10-31,4.715266e-05,5.0,2004,10,31
2004-11-01,4.48103e-05,6.0,2004,11,1
2004-11-02,4.1959323e-05,6.0,2004,11,2
2004-11-03,4.4387354e-05,6.0,2004,11,3
2004-11-04,,0.0,2004,11,4
2004-11-05,2.431801e-05,6.0,2004,11,5
2004-11-06,6.508877e-05,6.0,2004,11,6
2004-11-07,2.576424e-05,6.0,2004,11,7
2004-11-08,7.868781e-06,2.0,2004,11,8
2004-11-09,,0.0,2004,11,9
2004-11-10,2.3796065e-05,2.0,2004,11,10
2004-11-11,,0.0,2004,11,11
2004-11-12,5.3744963e-05,6.0,2004,11,12
2004-11-13,,0.0,2004,11,13
2004-11-14,,0.0,2004,11,14
2004-11-15,,0.0,2004,11,15
2004-11-16,6.387223e-05,6.0,2004,11,16
2004-11-17,,0.0,2004,11,17
2004-11-18,3.062431e-05,6.0,2004,11,18
2004-11-19,,0.0,2004,11,19
2004-11-20,,0.0,2004,11,20
2004-11-21,,0.0,2004,11,21
2004-11-22,,0.0,2004,11,22
2004-11-23,,0.0,2004,11,23
2004-11-24,,0.0,2004,11,24
2004-11-25,,0.0,2004,11,25
2004-11-26,,0.0,2004,11,26
2004-11-27,,0.0,2004,11,27
2004-11-28,,0.0,2004,11,28
2004-11-29,,0.0,2004,11,29
2004-11-30,,0.0,2004,11,30
2004-12-01,,0.0,2004,12,1
2004-12-02,5.535859e-05,6.0,2004,12,2
2004-12-03,,0.0,2004,12,3
2004-12-04,5.8041776e-05,6.0,2004,12,4
2004-12-05,,0.0,2004,12,5
2004-12-06,3.3457516e-05,6.0,2004,12,6
2004-12-07,4.4994562e-05,6.0,2004,12,7
2004-12-08,3.8696817e-05,6.0,2004,12,8
2004-12-09,,0.0,2004,12,9
2004-12-10,4.360491e-05,6.0,2004,12,10
2004-12-11,2.9341e-05,6.0,2004,12,11
2004-12-12,3.6195797e-05,6.0,2004,12,12
2004-12-13,5.7074605e-05,6.0,2004,12,13
2004-12-14,3.7483063e-05,6.0,2004,12,14
2004-12-15,,0.0,2004,12,15
2004-12-16,7.9222395e-05,6.0,2004,12,16
2004-12-17,4.872597e-05,6.0,2004,12,17
2004-12-18,8.045653e-05,6.0,2004,12,18
2004-12-19,,0.0,2004,12,19
2004-12-20,3.6830243e-05,6.0,2004,12,20
2004-12-21,3.0453457e-05,6.0,2004,12,21
2004-12-22,4.516514e-05,6.0,2004,12,22
2004-12-23,3.168874e-05,6.0,2004,12,23
2004-12-24,,0.0,2004,12,24
2004-12-25,,0.0,2004,12,25
2004-12-26,3.42902e-05,6.0,2004,12,26
2004-12-27,6.557673e-05,6.0,2004,12,27
2004-12-28,3.3064964e-05,6.0,2004,12,28
2004-12-29,,0.0,2004,12,29
2004-12-30,6.1386236e-05,6.0,2004,12,30
2004-12-31,4.840169e-05,6.0,2004,12,31
2005-01-01,3.2089632e-05,6.0,2005,1,1
2005-01-02,5.0702627e-05,6.0,2005,1,2
2005-01-03,7.960366e-05,6.0,2005,1,3
2005-01-04,9.1874404e-05,6.0,2005,1,4
2005-01-05,8.373546e-05,6.0,2005,1,5
2005-01-06,0.000107058666,4.0,2005,1,6
2005-01-07,6.0884733e-05,3.0,2005,1,7
2005-01-08,,0.0,2005,1,8
2005-01-09,3.397739e-05,2.0,2005,1,9
2005-01-10,5.3821062e-05,6.0,2005,1,10
2005-01-11,7.893524e-05,5.0,2005,1,11
2005-01-12,5.8304904e-05,6.0,2005,1,12
2005-01-13,4.696341e-05,4.0,2005,1,13
2005-01-14,5.3652835e-05,5.0,2005,1,14
2005-01-15,6.108768e-05,6.0,2005,1,15
2005-01-16,5.658063e-05,6.0,2005,1,16
2005-01-17,3.6184287e-05,6.0,2005,1,17
2005-01-18,6.616181e-05,6.0,2005,1,18
2005-01-19,6.546367e-05,2.0,2005,1,19
2005-01-20,,0.0,2005,1,20
2005-01-21,4.1727777e-05,6.0,2005,1,21
2005-01-22,,0.0,2005,1,22
2005-01-23,6.393828e-05,6.0,2005,1,23
2005-01-24,5.2156895e-05,6.0,2005,1,24
2005-01-25,7.944463e-05,6.0,2005,1,25
2005-01-26,0.00013542491,6.0,2005,1,26
2005-01-27,6.343708e-05,6.0,2005,1,27
2005-01-28,4.431908e-05,6.0,2005,1,28
2005-01-29,5.852858e-05,2.0,2005,1,29
2005-01-30,,0.0,2005,1,30
2005-01-31,,0.0,2005,1,31
2005-02-01,5.1554016e-05,6.0,2005,2,1
2005-02-02,7.3845746e-05,6.0,2005,2,2
2005-02-03,4.5929108e-05,6.0,2005,2,3
2005-02-04,4.23562e-05,6.0,2005,2,4
2005-02-05,2.8985784e-05,6.0,2005,2,5
2005-02-06,,0.0,2005,2,6
2005-02-07,,0.0,2005,2,7
2005-02-08,,0.0,2005,2,8
2005-02-09,8.0076476e-05,6.0,2005,2,9
2005-02-10,,0.0,2005,2,10
2005-02-11,,0.0,2005,2,11
2005-02-12,3.0018724e-05,6.0,2005,2,12
2005-02-13,2.8772927e-05,6.0,2005,2,13
2005-02-14,3.6882004e-05,6.0,2005,2,14
2005-02-15,5.8095822e-05,6.0,2005,2,15
2005-02-16,5.3996537e-05,5.0,2005,2,16
2005-02-17,4.581946e-05,6.0,2005,2,17
2005-02-18,4.1344945e-05,6.0,2005,2,18
2005-02-19,5.1781855e-05,6.0,2005,2,19
2005-02-20,2.8123417e-05,3.0,2005,2,20
2005-02-21,,0.0,2005,2,21
2005-02-22,6.578782e-05,6.0,2005,2,22
2005-02-23,6.373919e-05,6.0,2005,2,23
2005-02-24,7.4097547e-06,1.0,2005,2,24
2005-02-25,7.68101e-05,4.0,2005,2,25
2005-02-26,8.826462e-05,6.0,2005,2,26
2005-02-27,5.520777e-05,6.0,2005,2,27
2005-02-28,5.5229422e-05,6.0,2005,2,28
2005-03-01,0.0001823975,6.0,2005,3,1
2005-03-02,5.211322e-05,6.0,2005,3,2
2005-03-03,3.9740153e-05,6.0,2005,3,3
2005-03-04,4.786064e-05,4.0,2005,3,4
2005-03-05,6.821817e-05,6.0,2005,3,5
2005-03-06,4.815595e-05,6.0,2005,3,6
2005-03-07,,0.0,2005,3,7
2005-03-08,1.5487558e-05,1.0,2005,3,8
2005-03-09,0.0001537201,6.0,2005,3,9
2005-03-10,4.939908e-05,6.0,2005,3,10
2005-03-11,8.234634e-05,6.0,2005,3,11
2005-03-12,,0.0,2005,3,12
2005-03-13,7.7786855e-05,6.0,2005,3,13
2005-03-14,9.150224e-05,6.0,2005,3,14
2005-03-15,7.684538e-05,6.0,2005,3,15
2005-03-16,0.00014199142,6.0,2005,3,16
2005-03-17,6.9100475e-05,6.0,2005,3,17
2005-03-18,8.5185566e-05,6.0,2005,3,18
