Fecha_datetime,no2_mean,pix,Year,Month,Day
2004-10-01,2.4071931e-05,13.0,2004,10,1
2004-10-02,,0.0,2004,10,2
2004-10-03,1.4574087e-05,23.0,2004,10,3
2004-10-04,2.0790736e-05,22.0,2004,10,4
2004-10-05,1.8890298e-05,18.0,2004,10,5
2004-10-06,2.4069393e-05,14.0,2004,10,6
2004-10-07,,0.0,2004,10,7
2004-10-08,8.618944e-06,9.0,2004,10,8
2004-10-09,1.397815e-05,16.0,2004,10,9
2004-10-10,1.3704564e-05,23.0,2004,10,10
2004-10-11,9.2333285e-06,19.0,2004,10,11
2004-10-12,1.5030263e-05,21.0,2004,10,12
2004-10-13,1.8376219e-05,21.0,2004,10,13
2004-10-14,1.8426714e-05,12.0,2004,10,14
2004-10-15,1.8246928e-05,19.0,2004,10,15
2004-10-16,,0.0,2004,10,16
2004-10-17,1.2703304e-05,18.0,2004,10,17
2004-10-18,9.941326e-06,18.0,2004,10,18
2004-10-19,1.5813117e-05,24.0,2004,10,19
2004-10-20,5.391056e-06,2.0,2004,10,20
2004-10-21,1.6604268e-05,18.0,2004,10,21
2004-10-22,1.7820827e-05,15.0,2004,10,22
2004-10-23,1.9243218e-05,24.0,2004,10,23
2004-10-24,1.5995298e-05,18.0,2004,10,24
2004-10-25,9.962347e-06,4.0,2004,10,25
2004-10-26,1.7759936e-05,21.0,2004,10,26
2004-10-27,1.7780703e-05,21.0,2004,10,27
2004-10-28,1.6982127e-05,24.0,2004,10,28
2004-10-29,1.5204395e-05,15.0,2004,10,29
2004-10-30,2.6543323e-05,22.0,2004,10,30
2004-10-31,1.3159812e-05,19.0,2004,10,31
2004-11-01,7.415947e-06,12.0,2004,11,1
2004-11-02,1.8196832e-05,20.0,2004,11,2
2004-11-03,2.9857006e-06,8.0,2004,11,3
2004-11-04,1.4965114e-05,17.0,2004,11,4
2004-11-05,5.1113104e-05,7.0,2004,11,5
2004-11-06,9.114187e-06,6.0,2004,11,6
2004-11-07,7.1440445e-06,5.0,2004,11,7
2004-11-08,1.1556989e-05,16.0,2004,11,8
2004-11-09,2.089341e-05,19.0,2004,11,9
2004-11-10,,0.0,2004,11,10
2004-11-11,5.38525e-06,10.0,2004,11,11
2004-11-12,1.4794512e-05,23.0,2004,11,12
2004-11-13,3.3021697e-05,15.0,2004,11,13
2004-11-14,1.3193014e-05,6.0,2004,11,14
2004-11-15,1.6180562e-05,17.0,2004,11,15
2004-11-16,2.1119513e-05,19.0,2004,11,16
2004-11-17,,0.0,2004,11,17
2004-11-18,1.8278648e-05,17.0,2004,11,18
2004-11-19,,0.0,2004,11,19
2004-11-20,,0.0,2004,11,20
2004-11-21,,0.0,2004,11,21
2004-11-22,,0.0,2004,11,22
2004-11-23,,0.0,2004,11,23
2004-11-24,,0.0,2004,11,24
2004-11-25,,0.0,2004,11,25
2004-11-26,,0.0,2004,11,26
2004-11-27,,0.0,2004,11,27
2004-11-28,,0.0,2004,11,28
2004-11-29,,0.0,2004,11,29
2004-11-30,,0.0,2004,11,30
2004-12-01,,0.0,2004,12,1
2004-12-02,2.2158321e-05,19.0,2004,12,2
2004-12-03,1.53844e-05,22.0,2004,12,3
2004-12-04,1.9591154e-05,18.0,2004,12,4
2004-12-05,4.108965e-06,4.0,2004,12,5
2004-12-06,2.4854253e-05,20.0,2004,12,6
2004-12-07,4.823106e-06,5.0,2004,12,7
2004-12-08,2.1173912e-05,22.0,2004,12,8
2004-12-09,,0.0,2004,12,9
2004-12-10,1.6346617e-06,3.0,2004,12,10
2004-12-11,2.2537788e-05,21.0,2004,12,11
2004-12-12,,0.0,2004,12,12
2004-12-13,1.3436214e-05,22.0,2004,12,13
2004-12-14,1.2245049e-06,1.0,2004,12,14
2004-12-15,1.2123579e-05,14.0,2004,12,15
2004-12-16,,0.0,2004,12,16
2004-12-17,1.0390683e-05,6.0,2004,12,17
2004-12-18,,0.0,2004,12,18
2004-12-19,,0.0,2004,12,19
2004-12-20,3.2542328e-05,16.0,2004,12,20
2004-12-21,3.7178947e-06,7.0,2004,12,21
2004-12-22,1.931657e-05,19.0,2004,12,22
2004-12-23,2.0614592e-05,14.0,2004,12,23
2004-12-24,1.6012455e-05,17.0,2004,12,24
2004-12-25,2.9168856e-05,17.0,2004,12,25
2004-12-26,6.1046285e-06,6.0,2004,12,26
2004-12-27,1.5822403e-05,18.0,2004,12,27
2004-12-28,1.2095102e-05,17.0,2004,12,28
2004-12-29,1.6430226e-05,11.0,2004,12,29
2004-12-30,8.440441e-06,16.0,2004,12,30
2004-12-31,2.1076257e-05,18.0,2004,12,31
2005-01-01,2.226147e-05,14.0,2005,1,1
2005-01-02,3.0586496e-05,12.0,2005,1,2
2005-01-03,1.7664444e-05,14.0,2005,1,3
2005-01-04,7.765645e-06,16.0,2005,1,4
2005-01-05,1.5884914e-05,19.0,2005,1,5
2005-01-06,1.6201357e-05,20.0,2005,1,6
2005-01-07,1.6337937e-05,18.0,2005,1,7
2005-01-08,2.1545284e-05,22.0,2005,1,8
2005-01-09,2.6335576e-05,19.0,2005,1,9
2005-01-10,9.448672e-06,6.0,2005,1,10
2005-01-11,8.75067e-06,14.0,2005,1,11
2005-01-12,1.7704917e-05,18.0,2005,1,12
2005-01-13,1.0484647e-05,24.0,2005,1,13
2005-01-14,2.5014384e-05,4.0,2005,1,14
2005-01-15,,0.0,2005,1,15
2005-01-16,2.4370764e-05,11.0,2005,1,16
2005-01-17,1.3096114e-05,14.0,2005,1,17
2005-01-18,2.7690321e-05,19.0,2005,1,18
2005-01-19,4.2927255e-05,11.0,2005,1,19
2005-01-20,,0.0,2005,1,20
2005-01-21,1.9813166e-05,21.0,2005,1,21
2005-01-22,1.6295817e-05,16.0,2005,1,22
2005-01-23,1.1416302e-05,20.0,2005,1,23
2005-01-24,2.1001593e-05,15.0,2005,1,24
2005-01-25,3.015105e-05,15.0,2005,1,25
2005-01-26,1.6683143e-05,11.0,2005,1,26
2005-01-27,1.2642346e-05,18.0,2005,1,27
2005-01-28,1.9216679e-05,17.0,2005,1,28
2005-01-29,7.78777e-06,20.0,2005,1,29
2005-01-30,1.0381172e-05,21.0,2005,1,30
2005-01-31,1.4520245e-05,21.0,2005,1,31
2005-02-01,2.4339608e-05,17.0,2005,2,1
2005-02-02,3.3620494e-05,12.0,2005,2,2
2005-02-03,4.668386e-05,18.0,2005,2,3
2005-02-04,1.7962684e-05,18.0,2005,2,4
2005-02-05,1.16476285e-05,22.0,2005,2,5
2005-02-06,1.42162835e-05,22.0,2005,2,6
2005-02-07,6.9875623e-06,8.0,2005,2,7
2005-02-08,4.9104037e-05,13.0,2005,2,8
2005-02-09,,0.0,2005,2,9
2005-02-10,3.454088e-05,12.0,2005,2,10
2005-02-11,1.571228e-05,4.0,2005,2,11
2005-02-12,4.294942e-06,6.0,2005,2,12
2005-02-13,2.4740557e-05,17.0,2005,2,13
2005-02-14,1.060779e-05,17.0,2005,2,14
2005-02-15,1.08294425e-05,18.0,2005,2,15
2005-02-16,1.4306543e-05,21.0,2005,2,16
2005-02-17,1.9247485e-05,14.0,2005,2,17
2005-02-18,1.7957229e-05,18.0,2005,2,18
2005-02-19,4.858344e-06,6.0,2005,2,19
2005-02-20,2.430364e-05,14.0,2005,2,20
2005-02-21,,0.0,2005,2,21
2005-02-22,1.0305894e-05,8.0,2005,2,22
2005-02-23,8.129248e-06,7.0,2005,2,23
2005-02-24,2.0911106e-05,21.0,2005,2,24
2005-02-25,1.5608393e-05,10.0,2005,2,25
2005-02-26,3.0700776e-05,18.0,2005,2,26
2005-02-27,2.446292e-05,12.0,2005,2,27
2005-02-28,2.0937292e-05,16.0,2005,2,28
2005-03-01,1.3675298e-05,17.0,2005,3,1
2005-03-02,1.2713664e-05,24.0,2005,3,2
2005-03-03,1.6226677e-05,20.0,2005,3,3
2005-03-04,2.9561264e-05,14.0,2005,3,4
2005-03-05,1.046431e-05,12.0,2005,3,5
2005-03-06,,0.0,2005,3,6
2005-03-07,2.2631335e-05,18.0,2005,3,7
2005-03-08,1.1245909e-05,12.0,2005,3,8
2005-03-09,2.5484773e-05,14.0,2005,3,9
2005-03-10,2.6933825e-05,15.0,2005,3,10
2005-03-11,1.59088e-05,16.0,2005,3,11
2005-03-12,1.5360558e-05,22.0,2005,3,12
2005-03-13,2.0413256e-05,18.0,2005,3,13
2005-03-14,2.8493254e-05,11.0,2005,3,14
2005-03-15,3.705917e-05,18.0,2005,3,15
2005-03-16,1.2571081e-05,14.0,2005,3,16
2005-03-17,2.2062755e-05,19.0,2005,3,17
2005-03-18,7.754764e-06,23.0,2005,3,18
2005-03-19,1.7972863e-05,18.0,2005,3,19
2005-03-20,4.460128e-06,10.0,2005,3,20
2005-03-21,1.5245825e-05,21.0,2005,3,21
2005-03-22,1.6224572e-05,16.0,2005,3,22
2005-03-23,2.9008008e-05,18.0,2005,3,23
2005-03-24,2.5493813e-05,16.0,2005,3,24
2005-03-25,,0.0,2005,3,25
2005-03-26,2.4803856e-05,18.0,2005,3,26
2005-03-27,6.137822e-06,2.0,2005,3,27
2005-03-28,2.2257562e-05,15.0,2005,3,28
2005-03-29,1.6576701e-05,22.0,2005,3,29
2005-03-30,2.2343092e-05,20.0,2005,3,30
2005-03-31,2.3226186e-05,21.0,2005,3,31
2005-04-01,2.3775709e-05,16.0,2005,4,1
2005-04-02,2.2600929e-05,19.0,2005,4,2
2005-04-03,1.3727287e-05,24.0,2005,4,3
2005-04-04,2.1107182e-05,16.0,2005,4,4
2005-04-05,2.5975873e-05,21.0,2005,4,5
2005-04-06,1.9637675e-05,18.0,2005,4,6
2005-04-07,2.478183e-05,20.0,2005,4,7
2005-04-08,,0.0,2005,4,8
2005-04-09,2.4405e-05,18.0,2005,4,9
2005-04-10,8.227119e-06,20.0,2005,4,10
2005-04-11,2.2149732e-05,18.0,2005,4,11
2005-04-12,1.8180019e-05,14.0,2005,4,12
2005-04-13,3.097972e-05,17.0,2005,4,13
2005-04-14,2.6817008e-05,20.0,2005,4,14
2005-04-15,3.303343e-05,19.0,2005,4,15
2005-04-16,1.77239e-05,22.0,2005,4,16
2005-04-17,2.5556257e-05,20.0,2005,4,17
2005-04-18,2.500001e-05,19.0,2005,4,18
2005-04-19,9.107007e-06,24.0,2005,4,19
2005-04-20,3.3721393e-05,15.0,2005,4,20
2005-04-21,3.1525324e-05,21.0,2005,4,21
2005-04-22,3.908441e-05,22.0,2005,4,22
2005-04-23,2.8280661e-05,17.0,2005,4,23
2005-04-24,2.514233e-06,1.0,2005,4,24
2005-04-25,1.8218696e-05,17.0,2005,4,25
2005-04-26,,0.0,2005,4,26
2005-04-27,2.292565e-05,17.0,2005,4,27
2005-04-28,3.7921632e-06,8.0,2005,4,28
2005-04-29,2.7864568e-05,21.0,2005,4,29
2005-04-30,2.6261527e-05,22.0,2005,4,30
2005-05-01,2.9736737e-05,16.0,2005,5,1
2005-05-02,2.8325145e-05,16.0,2005,5,2
2005-05-03,1.6535701e-05,15.0,2005,5,3
2005-05-04,2.803618e-05,21.0,2005,5,4
2005-05-05,2.0440484e-05,24.0,2005,5,5
2005-05-06,2.3148681e-05,21.0,2005,5,6
2005-05-07,2.2034947e-05,24.0,2005,5,7
2005-05-08,2.4650006e-05,11.0,2005,5,8
2005-05-09,4.468421e-05,15.0,2005,5,9
2005-05-10,4.029563e-05,21.0,2005,5,10
2005-05-11,4.1382587e-05,18.0,2005,5,11
2005-05-12,1.2713819e-05,19.0,2005,5,12
2005-05-13,2.4410112e-05,21.0,2005,5,13
2005-05-14,1.1286863e-05,23.0,2005,5,14
2005-05-15,1.762584e-05,21.0,2005,5,15
2005-05-16,1.979093e-05,18.0,2005,5,16
2005-05-17,2.8840534e-05,17.0,2005,5,17
2005-05-18,3.0597654e-05,13.0,2005,5,18
2005-05-19,9.208483e-06,4.0,2005,5,19
2005-05-20,2.5323416e-05,3.0,2005,5,20
2005-05-21,,0.0,2005,5,21
2005-05-22,2.602341e-05,18.0,2005,5,22
2005-05-23,1.0501481e-05,11.0,2005,5,23
2005-05-24,4.2333024e-05,21.0,2005,5,24
2005-05-25,3.4523095e-05,15.0,2005,5,25
2005-05-26,4.4769004e-05,17.0,2005,5,26
2005-05-27,2.4664792e-05,18.0,2005,5,27
2005-05-28,,0.0,2005,5,28
2005-05-29,2.514562e-05,16.0,2005,5,29
2005-05-30,9.975824e-06,10.0,2005,5,30
2005-05-31,4.125566e-05,20.0,2005,5,31
2005-06-01,2.8336337e-05,18.0,2005,6,1
2005-06-02,2.7462835e-05,19.0,2005,6,2
2005-06-03,3.2246193e-05,22.0,2005,6,3
2005-06-04,3.574879e-05,13.0,2005,6,4
2005-06-05,1.7531751e-05,18.0,2005,6,5
2005-06-06,1.8034147e-05,11.0,2005,6,6
2005-06-07,2.7862641e-05,17.0,2005,6,7
2005-06-08,8.01229e-06,8.0,2005,6,8
2005-06-09,5.6083438e-05,13.0,2005,6,9
2005-06-10,3.223568e-05,15.0,2005,6,10
2005-06-11,3.0904005e-06,4.0,2005,6,11
2005-06-12,2.2743297e-05,15.0,2005,6,12
2005-06-13,9.689438e-06,9.0,2005,6,13
2005-06-14,4.775026e-05,16.0,2005,6,14
2005-06-15,1.4834257e-05,20.0,2005,6,15
2005-06-16,3.8758666e-05,19.0,2005,6,16
2005-06-17,6.7324363e-06,10.0,2005,6,17
2005-06-18,2.7620186e-05,21.0,2005,6,18
2005-06-19,3.1699703e-05,21.0,2005,6,19
2005-06-20,4.7113528e-05,18.0,2005,6,20
2005-06-21,3.0402834e-05,17.0,2005,6,21
2005-06-22,,0.0,2005,6,22
2005-06-23,2.9616382e-05,16.0,2005,6,23
2005-06-24,2.6185424e-05,20.0,2005,6,24
2005-06-25,5.001369e-05,16.0,2005,6,25
2005-06-26,1.5307327e-05,8.0,2005,6,26
2005-06-27,1.184771e-05,5.0,2005,6,27
2005-06-28,4.8080507e-05,8.0,2005,6,28
2005-06-29,,0.0,2005,6,29
2005-06-30,3.2353746e-05,16.0,2005,6,30
2005-07-01,2.0940428e-05,16.0,2005,7,1
2005-07-02,1.7603543e-05,10.0,2005,7,2
2005-07-03,4.914016e-06,8.0,2005,7,3
2005-07-04,2.6566608e-05,18.0,2005,7,4
2005-07-05,3.5376048e-05,16.0,2005,7,5
2005-07-06,1.5959888e-05,12.0,2005,7,6
2005-07-07,1.4822683e-05,11.0,2005,7,7
2005-07-08,3.0291993e-05,17.0,2005,7,8
2005-07-09,2.9360248e-05,12.0,2005,7,9
2005-07-10,1.9491505e-05,16.0,2005,7,10
2005-07-11,3.1369258e-05,18.0,2005,7,11
2005-07-12,3.859813e-05,12.0,2005,7,12
2005-07-13,,0.0,2005,7,13
2005-07-14,1.2271395e-05,9.0,2005,7,14
2005-07-15,1.2008128e-05,8.0,2005,7,15
2005-07-16,3.226988e-05,20.0,2005,7,16
2005-07-17,1.2207754e-05,8.0,2005,7,17
2005-07-18,3.8923394e-05,15.0,2005,7,18
2005-07-19,1.1948616e-05,5.0,2005,7,19
2005-07-20,2.6008192e-05,17.0,2005,7,20
2005-07-21,1.5073241e-05,16.0,2005,7,21
2005-07-22,3.7169448e-05,22.0,2005,7,22
